,country,year,co2_emission_tons
0,United Kingdom,1750,9350528.0
1,United Kingdom,1751,18701056.0
2,United Kingdom,1752,28055248.0
3,United Kingdom,1753,37409440.0
4,United Kingdom,1754,46767296.0
5,United Kingdom,1755,56128816.0
6,United Kingdom,1756,66135200.0
7,United Kingdom,1757,76145248.0
8,United Kingdom,1758,86158960.0
9,United Kingdom,1759,96176336.0
10,United Kingdom,1760,106193712.0
11,United Kingdom,1761,117167392.0
12,United Kingdom,1762,128144736.0
13,United Kingdom,1763,139125744.0
14,United Kingdom,1764,150110416.0
15,United Kingdom,1765,161098752.0
16,United Kingdom,1766,173358496.0
17,United Kingdom,1767,185621904.0
18,United Kingdom,1768,197888976.0
19,United Kingdom,1769,210159712.0
20,United Kingdom,1770,222434112.0
21,United Kingdom,1771,236045872.0
22,United Kingdom,1772,249661296.0
23,United Kingdom,1773,263280384.0
24,United Kingdom,1774,276903136.0
25,United Kingdom,1775,290529552.0
26,United Kingdom,1776,305566608.0
27,United Kingdom,1777,320607328.0
28,United Kingdom,1778,335651712.0
29,United Kingdom,1779,350699760.0
30,United Kingdom,1780,365755136.0
31,United Kingdom,1781,382598544.0
32,United Kingdom,1782,399445616.0
33,United Kingdom,1783,416300016.0
34,United Kingdom,1784,433158080.0
35,United Kingdom,1785,450023472.0
36,United Kingdom,1786,469171536.0
37,United Kingdom,1787,488326928.0
38,United Kingdom,1788,507485984.0
39,United Kingdom,1789,526652368.0
40,United Kingdom,1790,545826080.0
41,United Kingdom,1791,567242160.0
42,United Kingdom,1792,588665568.0
43,United Kingdom,1793,610096304.0
44,United Kingdom,1794,631530704.0
45,United Kingdom,1795,652972432.0
46,United Kingdom,1796,675385120.0
47,United Kingdom,1797,698926320.0
48,United Kingdom,1798,723442144.0
49,United Kingdom,1799,749240368.0
50,United Kingdom,1800,775873984.0
51,United Kingdom,1801,802584544.0
52,United Kingdom,1802,829434336.0
53,United Kingdom,1803,859625696.0
54,United Kingdom,1804,889956288.0
55,United Kingdom,1805,921419056.0
56,United Kingdom,1806,954669856.0
57,United Kingdom,1807,987927984.0
58,United Kingdom,1808,1021197104.0
59,United Kingdom,1809,1054477216.0
60,United Kingdom,1810,1087768320.0
61,United Kingdom,1811,1123331104.0
62,United Kingdom,1812,1160267888.0
63,United Kingdom,1813,1197644352.0
64,United Kingdom,1814,1235731632.0
65,United Kingdom,1815,1274654304.0
66,United Kingdom,1816,1316090480.0
67,United Kingdom,1817,1358013968.0
68,United Kingdom,1818,1400036384.0
69,United Kingdom,1819,1442373904.0
70,United Kingdom,1820,1484901952.0
71,United Kingdom,1821,1527774416.0
72,United Kingdom,1822,1572295680.0
73,United Kingdom,1823,1619169232.0
74,United Kingdom,1824,1668252176.0
75,United Kingdom,1825,1717844416.0
76,United Kingdom,1826,1767989920.0
77,United Kingdom,1827,1820220240.0
78,United Kingdom,1828,1872809632.0
79,United Kingdom,1829,1926146480.0
80,United Kingdom,1830,1994011088.0
81,United Kingdom,1831,2059776224.0
82,United Kingdom,1832,2125365488.0
83,United Kingdom,1833,2190859488.0
84,United Kingdom,1834,2256397456.0
85,United Kingdom,1835,2321660624.0
86,United Kingdom,1836,2398106320.0
87,United Kingdom,1837,2471877296.0
88,United Kingdom,1838,2547689120.0
89,United Kingdom,1839,2625468512.0
90,United Kingdom,1840,2706428256.0
91,United Kingdom,1841,2788267360.0
92,United Kingdom,1842,2873638560.0
93,United Kingdom,1843,2962732384.0
94,United Kingdom,1844,3056204688.0
95,United Kingdom,1845,3156191584.0
96,United Kingdom,1846,3251884272.0
97,United Kingdom,1847,3355432576.0
98,United Kingdom,1848,3464718704.0
99,United Kingdom,1849,3580724608.0
100,United Kingdom,1850,3703329376.0
101,United Kingdom,1851,3819983808.0
102,United Kingdom,1852,3936224208.0
103,United Kingdom,1853,4051823408.0
104,United Kingdom,1854,4191125024.0
105,United Kingdom,1855,4321567088.0
106,United Kingdom,1856,4461942256.0
107,United Kingdom,1857,4599803920.0
108,United Kingdom,1858,4734917584.0
109,United Kingdom,1859,4884929072.0
110,United Kingdom,1860,5052879504.0
111,United Kingdom,1861,5227927104.0
112,United Kingdom,1862,5397398096.0
113,United Kingdom,1863,5577622928.0
114,United Kingdom,1864,5771532800.0
115,United Kingdom,1865,5977020912.0
116,United Kingdom,1866,6188752480.0
117,United Kingdom,1867,6406126608.0
118,United Kingdom,1868,6619345760.0
119,United Kingdom,1869,6843051280.0
120,United Kingdom,1870,7071545648.0
121,United Kingdom,1871,7313582160.0
122,United Kingdom,1872,7568570912.0
123,United Kingdom,1873,7833228960.0
124,United Kingdom,1874,8090416112.0
125,United Kingdom,1875,8361903856.0
126,United Kingdom,1876,8632922608.0
127,United Kingdom,1877,8908821808.0
128,United Kingdom,1878,9179796592.0
129,United Kingdom,1879,9452442160.0
130,United Kingdom,1880,9749566912.0
131,United Kingdom,1881,10061878944.0
132,United Kingdom,1882,10376843712.0
133,United Kingdom,1883,10704573856.0
134,United Kingdom,1884,11023671616.0
135,United Kingdom,1885,11338962480.0
136,United Kingdom,1886,11651391760.0
137,United Kingdom,1887,11971834208.0
138,United Kingdom,1888,12305001728.0
139,United Kingdom,1889,12650025952.0
140,United Kingdom,1890,13003048688.0
141,United Kingdom,1891,13363520336.0
142,United Kingdom,1892,13716528416.0
143,United Kingdom,1893,14032738944.0
144,United Kingdom,1894,14394841072.0
145,United Kingdom,1895,14760391024.0
146,United Kingdom,1896,15136372384.0
147,United Kingdom,1897,15522341808.0
148,United Kingdom,1898,15909219904.0
149,United Kingdom,1899,16323772192.0
150,United Kingdom,1900,16743512704.0
151,United Kingdom,1901,17154214128.0
152,United Kingdom,1902,17580853952.0
153,United Kingdom,1903,18010839008.0
154,United Kingdom,1904,18442831936.0
155,United Kingdom,1905,18880504064.0
156,United Kingdom,1906,19333854448.0
157,United Kingdom,1907,19807422784.0
158,United Kingdom,1908,20269387232.0
159,United Kingdom,1909,20735473680.0
160,United Kingdom,1910,21205205808.0
161,United Kingdom,1911,21686556480.0
162,United Kingdom,1912,22142442352.0
163,United Kingdom,1913,22640764672.0
164,United Kingdom,1914,23123947344.0
165,United Kingdom,1915,23613428432.0
166,United Kingdom,1916,24120500384.0
